RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt
R2F-M0-N11,R27-M0-N15,R2F-M0-N15,R2F-M0-N03,R0F-M0-N03,R2F-M0-N10,R2B-M0-N10,R2F-M0-N09,R2E-M0-N09
R2F-M0-N12,R2F-M0-N08,R27-M0-N08,R2F-M0-N04,R0F-M0-N04,R2D-M0-N13,R2F-M0-N13,R2F-M1-N14,R2F-M0-N14
R2F-M0-N13,R2F-M0-N09,R27-M0-N09,R2F-M0-N05,R0F-M0-N05,R2F-M0-N12,R2B-M0-N12,R2F-M1-N15,R2F-M0-N15
R2F-M0-N14,R2F-M0-N10,R27-M0-N10,R2F-M0-N06,R0F-M0-N06,R2D-M0-N15,R2F-M0-N15,R2F-M0-N12,R2E-M0-N12
R2F-M0-N15,R2F-M0-N11,R27-M0-N11,R2F-M0-N07,R0F-M0-N07,R2F-M0-N14,R2B-M0-N14,R2F-M0-N13,R2E-M0-N13
R2F-M1-N00,R27-M1-N04,R2F-M1-N04,R1F-M1-N08,R2F-M1-N08,R2D-M1-N01,R2F-M1-N01,R2E-M1-N02,R2F-M1-N02
R2F-M1-N01,R27-M1-N05,R2F-M1-N05,R1F-M1-N09,R2F-M1-N09,R2F-M1-N00,R2B-M1-N00,R2E-M1-N03,R2F-M1-N03
R2F-M1-N02,R27-M1-N06,R2F-M1-N06,R1F-M1-N10,R2F-M1-N10,R2D-M1-N03,R2F-M1-N03,R2F-M1-N00,R2F-M0-N00
R2F-M1-N03,R27-M1-N07,R2F-M1-N07,R1F-M1-N11,R2F-M1-N11,R2F-M1-N02,R2B-M1-N02,R2F-M1-N01,R2F-M0-N01
R2F-M1-N04,R2F-M1-N00,R27-M1-N00,R1F-M1-N12,R2F-M1-N12,R2D-M1-N05,R2F-M1-N05,R2E-M1-N06,R2F-M1-N06
R2F-M1-N05,R2F-M1-N01,R27-M1-N01,R1F-M1-N13,R2F-M1-N13,R2F-M1-N04,R2B-M1-N04,R2E-M1-N07,R2F-M1-N07
R2F-M1-N06,R2F-M1-N02,R27-M1-N02,R1F-M1-N14,R2F-M1-N14,R2D-M1-N07,R2F-M1-N07,R2F-M1-N04,R2F-M0-N04
R2F-M1-N07,R2F-M1-N03,R27-M1-N03,R1F-M1-N15,R2F-M1-N15,R2F-M1-N06,R2B-M1-N06,R2F-M1-N05,R2F-M0-N05
R2F-M1-N08,R27-M1-N12,R2F-M1-N12,R2F-M1-N00,R0F-M1-N00,R2D-M1-N09,R2F-M1-N09,R2E-M1-N10,R2F-M1-N10
R2F-M1-N09,R27-M1-N13,R2F-M1-N13,R2F-M1-N01,R0F-M1-N01,R2F-M1-N08,R2B-M1-N08,R2E-M1-N11,R2F-M1-N11
R2F-M1-N10,R27-M1-N14,R2F-M1-N14,R2F-M1-N02,R0F-M1-N02,R2D-M1-N11,R2F-M1-N11,R2F-M1-N08,R2F-M0-N08
R2F-M1-N11,R27-M1-N15,R2F-M1-N15,R2F-M1-N03,R0F-M1-N03,R2F-M1-N10,R2B-M1-N10,R2F-M1-N09,R2F-M0-N09
R2F-M1-N12,R2F-M1-N08,R27-M1-N08,R2F-M1-N04,R0F-M1-N04,R2D-M1-N13,R2F-M1-N13,R2E-M1-N14,R2F-M1-N14
R2F-M1-N13,R2F-M1-N09,R27-M1-N09,R2F-M1-N05,R0F-M1-N05,R2F-M1-N12,R2B-M1-N12,R2E-M1-N15,R2F-M1-N15
R2F-M1-N14,R2F-M1-N10,R27-M1-N10,R2F-M1-N06,R0F-M1-N06,R2D-M1-N15,R2F-M1-N15,R2F-M1-N12,R2F-M0-N12
R2F-M1-N15,R2F-M1-N11,R27-M1-N11,R2F-M1-N07,R0F-M1-N07,R2F-M1-N14,R2B-M1-N14,R2F-M1-N13,R2F-M0-N13
