RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt
R2C-M0-N07,R2C-M0-N03,R24-M0-N03,R1C-M0-N15,R2C-M0-N15,R2C-M0-N06,R2E-M0-N06,R2C-M0-N05,R2C-M1-N05
R2C-M0-N08,R24-M0-N12,R2C-M0-N12,R2C-M0-N00,R0C-M0-N00,R28-M0-N09,R2C-M0-N09,R2D-M0-N10,R2C-M0-N10
R2C-M0-N09,R24-M0-N13,R2C-M0-N13,R2C-M0-N01,R0C-M0-N01,R2C-M0-N08,R2E-M0-N08,R2D-M0-N11,R2C-M0-N11
R2C-M0-N10,R24-M0-N14,R2C-M0-N14,R2C-M0-N02,R0C-M0-N02,R28-M0-N11,R2C-M0-N11,R2C-M0-N08,R2C-M1-N08
R2C-M0-N11,R24-M0-N15,R2C-M0-N15,R2C-M0-N03,R0C-M0-N03,R2C-M0-N10,R2E-M0-N10,R2C-M0-N09,R2C-M1-N09
R2C-M0-N12,R2C-M0-N08,R24-M0-N08,R2C-M0-N04,R0C-M0-N04,R28-M0-N13,R2C-M0-N13,R2D-M0-N14,R2C-M0-N14
R2C-M0-N13,R2C-M0-N09,R24-M0-N09,R2C-M0-N05,R0C-M0-N05,R2C-M0-N12,R2E-M0-N12,R2D-M0-N15,R2C-M0-N15
R2C-M0-N14,R2C-M0-N10,R24-M0-N10,R2C-M0-N06,R0C-M0-N06,R28-M0-N15,R2C-M0-N15,R2C-M0-N12,R2C-M1-N12
R2C-M0-N15,R2C-M0-N11,R24-M0-N11,R2C-M0-N07,R0C-M0-N07,R2C-M0-N14,R2E-M0-N14,R2C-M0-N13,R2C-M1-N13
R2C-M1-N00,R24-M1-N04,R2C-M1-N04,R1C-M1-N08,R2C-M1-N08,R28-M1-N01,R2C-M1-N01,R2C-M0-N02,R2C-M1-N02
R2C-M1-N01,R24-M1-N05,R2C-M1-N05,R1C-M1-N09,R2C-M1-N09,R2C-M1-N00,R2E-M1-N00,R2C-M0-N03,R2C-M1-N03
R2C-M1-N02,R24-M1-N06,R2C-M1-N06,R1C-M1-N10,R2C-M1-N10,R28-M1-N03,R2C-M1-N03,R2C-M1-N00,R2D-M1-N00
R2C-M1-N03,R24-M1-N07,R2C-M1-N07,R1C-M1-N11,R2C-M1-N11,R2C-M1-N02,R2E-M1-N02,R2C-M1-N01,R2D-M1-N01
R2C-M1-N04,R2C-M1-N00,R24-M1-N00,R1C-M1-N12,R2C-M1-N12,R28-M1-N05,R2C-M1-N05,R2C-M0-N06,R2C-M1-N06
R2C-M1-N05,R2C-M1-N01,R24-M1-N01,R1C-M1-N13,R2C-M1-N13,R2C-M1-N04,R2E-M1-N04,R2C-M0-N07,R2C-M1-N07
R2C-M1-N06,R2C-M1-N02,R24-M1-N02,R1C-M1-N14,R2C-M1-N14,R28-M1-N07,R2C-M1-N07,R2C-M1-N04,R2D-M1-N04
R2C-M1-N07,R2C-M1-N03,R24-M1-N03,R1C-M1-N15,R2C-M1-N15,R2C-M1-N06,R2E-M1-N06,R2C-M1-N05,R2D-M1-N05
R2C-M1-N08,R24-M1-N12,R2C-M1-N12,R2C-M1-N00,R0C-M1-N00,R28-M1-N09,R2C-M1-N09,R2C-M0-N10,R2C-M1-N10
R2C-M1-N09,R24-M1-N13,R2C-M1-N13,R2C-M1-N01,R0C-M1-N01,R2C-M1-N08,R2E-M1-N08,R2C-M0-N11,R2C-M1-N11
R2C-M1-N10,R24-M1-N14,R2C-M1-N14,R2C-M1-N02,R0C-M1-N02,R28-M1-N11,R2C-M1-N11,R2C-M1-N08,R2D-M1-N08
R2C-M1-N11,R24-M1-N15,R2C-M1-N15,R2C-M1-N03,R0C-M1-N03,R2C-M1-N10,R2E-M1-N10,R2C-M1-N09,R2D-M1-N09
R2C-M1-N12,R2C-M1-N08,R24-M1-N08,R2C-M1-N04,R0C-M1-N04,R28-M1-N13,R2C-M1-N13,R2C-M0-N14,R2C-M1-N14
R2C-M1-N13,R2C-M1-N09,R24-M1-N09,R2C-M1-N05,R0C-M1-N05,R2C-M1-N12,R2E-M1-N12,R2C-M0-N15,R2C-M1-N15
R2C-M1-N14,R2C-M1-N10,R24-M1-N10,R2C-M1-N06,R0C-M1-N06,R28-M1-N15,R2C-M1-N15,R2C-M1-N12,R2D-M1-N12
R2C-M1-N15,R2C-M1-N11,R24-M1-N11,R2C-M1-N07,R0C-M1-N07,R2C-M1-N14,R2E-M1-N14,R2C-M1-N13,R2D-M1-N13
R2D-M0-N00,R25-M0-N04,R2D-M0-N04,R1D-M0-N08,R2D-M0-N08,R29-M0-N01,R2D-M0-N01,R2D-M1-N02,R2D-M0-N02
R2D-M0-N01,R25-M0-N05,R2D-M0-N05,R1D-M0-N09,R2D-M0-N09,R2D-M0-N00,R2F-M0-N00,R2D-M1-N03,R2D-M0-N03
R2D-M0-N02,R25-M0-N06,R2D-M0-N06,R1D-M0-N10,R2D-M0-N10,R29-M0-N03,R2D-M0-N03,R2D-M0-N00,R2C-M0-N00
R2D-M0-N03,R25-M0-N07,R2D-M0-N07,R1D-M0-N11,R2D-M0-N11,R2D-M0-N02,R2F-M0-N02,R2D-M0-N01,R2C-M0-N01
