"str","partition"
"000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000","MIR-48000-7B371-1-1024"
"000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00800-33B31-512"
"000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000","MIR-40400-73731-512"
"000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000","MIR-44400-777F1-2048"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000","MIR-48C80-7BFB1-512"
"000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000","MIR-44CC0-77FF1-512"
"000000000000000000000000000000000000000000000000000000000000000000001111000000000000111100000000","MIR-08C00-7BFF1-4096"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010","MIR-488C0-7BBF1-512"
"000000000000000000000000000000001111111111111111000000000000000011111111111111110000000000000000","MIR-04000-3BFF1-16384"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000","MIR-48C00-7BF71-1-1024"
"000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000000","MIR-04000-373F1-2048"
"000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000","MIR-08080-3B3B1-512"
"000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000","MIR-04C80-37FF1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000001111111111110000111111111111","MIR-08400-7BFF1-12288"
"000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000","MIR-04800-37BF1-2048"
"000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000","MIR-048C0-37BF1-512"
"000011111111111100001111111111110000000000000000000000000000000000000000000000000000000000000000","MIR-00400-73FF1-12288"
"000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000","MIR-04880-37BB1-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000","MIR-08480-3B7B1-512"
"000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00080-333B1-512"
"000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000","MIR-404C0-737F1-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000","MIR-08840-3BB71-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000","MIR-48C00-7BFF1-2048"
"000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000","MIR-04440-37771-512"
"000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40040-73371-512"
"000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000","MIR-04C00-37F31-512"
"000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000","MIR-40480-737F1-1-1024"
"000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000","MIR-44080-773B1-512"
"000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000","MIR-408C0-73BF1-512"
"000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00480-337F1-1-1024"
"000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000","MIR-44040-77371-512"
"000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000","MIR-04000-37371-1-1024"
"000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000","MIR-44080-773F1-1-1024"
"000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000","MIR-44400-77731-512"
"000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000","MIR-08C80-3BFB1-512"
"000000000000000000000000000000001111000011110000000000000000000000000000000000000000000000000000","MIR-04000-377F1-4096"
"000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000","MIR-44480-777B1-512"
"000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000","MIR-40480-737F1-1024"
"000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000","MIR-444C0-777F1-512"
"111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-333F1-1-2048"
"000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000","MIR-04800-37B31-512"
"000000000000000011111111111111110000000000000000111111111111111100000000000000000000000000000000","MIR-40000-77FF1-16384"
"000000000000000000000000000000000000000000000000000011110000000000000000000000000000000000000000","MIR-44C00-77FF1-2048"
"000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000","MIR-04000-37331-512"
"000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000","MIR-08C80-3BFF1-1-1024"
"000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000","MIR-04880-37BF1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000","MIR-484C0-7B7F1-512"
"000000000000000000000000000000000000000000000000111111111111111100000000000000001111111111111111","MIR-44000-7BFF1-16384"
"000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000","MIR-44C80-77FB1-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000","MIR-08800-3BB71-1-1024"
"000000000000000000000000000000000000000011110000000000000000000000000000000000000000000000000000","MIR-04400-377F1-2048"
"000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000","MIR-40800-73B71-1024"
"000000000000000000000000000000001111111111111111000000000000000000000000000000000000000000000000","MIR-04000-37FF1-8192"
"000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000","MIR-44400-77771-1-1024"
