"torus","RMNJ"
"007F1","R05-M0-N03-J07"
"00800","R06-M0-N00-J00"
"00801","R06-M0-N00-J07"
"00810","R06-M0-N00-J12"
"00811","R06-M0-N00-J11"
"00820","R06-M0-N02-J12"
"00821","R06-M0-N02-J11"
"00830","R06-M0-N02-J00"
"00831","R06-M0-N02-J07"
"00840","R06-M1-N00-J00"
"00841","R06-M1-N00-J07"
"00850","R06-M1-N00-J12"
"00851","R06-M1-N00-J11"
"00860","R06-M1-N02-J12"
"00861","R06-M1-N02-J11"
"00870","R06-M1-N02-J00"
"00871","R06-M1-N02-J07"
"00880","R07-M1-N00-J00"
"00881","R07-M1-N00-J07"
"00890","R07-M1-N00-J12"
"00891","R07-M1-N00-J11"
"008A0","R07-M1-N02-J12"
"008A1","R07-M1-N02-J11"
"008B0","R07-M1-N02-J00"
"008B1","R07-M1-N02-J07"
"008C0","R07-M0-N00-J00"
"008C1","R07-M0-N00-J07"
"008D0","R07-M0-N00-J12"
"008D1","R07-M0-N00-J11"
"008E0","R07-M0-N02-J12"
"008E1","R07-M0-N02-J11"
"008F0","R07-M0-N02-J00"
"008F1","R07-M0-N02-J07"
"00900","R06-M0-N00-J01"
"00901","R06-M0-N00-J06"
"00910","R06-M0-N00-J13"
"00911","R06-M0-N00-J10"
"00920","R06-M0-N02-J13"
"00921","R06-M0-N02-J10"
"00930","R06-M0-N02-J01"
"00931","R06-M0-N02-J06"
"00940","R06-M1-N00-J01"
"00941","R06-M1-N00-J06"
"00950","R06-M1-N00-J13"
"00951","R06-M1-N00-J10"
"00960","R06-M1-N02-J13"
"00961","R06-M1-N02-J10"
"00970","R06-M1-N02-J01"
"00971","R06-M1-N02-J06"
"00980","R07-M1-N00-J01"
"00981","R07-M1-N00-J06"
"00990","R07-M1-N00-J13"
"00991","R07-M1-N00-J10"
"009A0","R07-M1-N02-J13"
"009A1","R07-M1-N02-J10"
"009B0","R07-M1-N02-J01"
"009B1","R07-M1-N02-J06"
"009C0","R07-M0-N00-J01"
"009C1","R07-M0-N00-J06"
"009D0","R07-M0-N00-J13"
"009D1","R07-M0-N00-J10"
"009E0","R07-M0-N02-J13"
"009E1","R07-M0-N02-J10"
"009F0","R07-M0-N02-J01"
"009F1","R07-M0-N02-J06"
"00A00","R06-M0-N01-J01"
"00A01","R06-M0-N01-J06"
"00A10","R06-M0-N01-J13"
"00A11","R06-M0-N01-J10"
"00A20","R06-M0-N03-J13"
"00A21","R06-M0-N03-J10"
"00A30","R06-M0-N03-J01"
"00A31","R06-M0-N03-J06"
"00A40","R06-M1-N01-J01"
"00A41","R06-M1-N01-J06"
"00A50","R06-M1-N01-J13"
"00A51","R06-M1-N01-J10"
"00A60","R06-M1-N03-J13"
"00A61","R06-M1-N03-J10"
"00A70","R06-M1-N03-J01"
"00A71","R06-M1-N03-J06"
"00A80","R07-M1-N01-J01"
"00A81","R07-M1-N01-J06"
"00A90","R07-M1-N01-J13"
"00A91","R07-M1-N01-J10"
"00AA0","R07-M1-N03-J13"
"00AA1","R07-M1-N03-J10"
"00AB0","R07-M1-N03-J01"
"00AB1","R07-M1-N03-J06"
"00AC0","R07-M0-N01-J01"
"00AC1","R07-M0-N01-J06"
"00AD0","R07-M0-N01-J13"
"00AD1","R07-M0-N01-J10"
"00AE0","R07-M0-N03-J13"
"00AE1","R07-M0-N03-J10"
"00AF0","R07-M0-N03-J01"
"00AF1","R07-M0-N03-J06"
"00B00","R06-M0-N01-J00"
"00B01","R06-M0-N01-J07"
"00B10","R06-M0-N01-J12"
"00B11","R06-M0-N01-J11"
"00B20","R06-M0-N03-J12"
"00B21","R06-M0-N03-J11"
"00B30","R06-M0-N03-J00"
"00B31","R06-M0-N03-J07"
"00B40","R06-M1-N01-J00"
"00B41","R06-M1-N01-J07"
"00B50","R06-M1-N01-J12"
"00B51","R06-M1-N01-J11"
"00B60","R06-M1-N03-J12"
"00B61","R06-M1-N03-J11"
"00B70","R06-M1-N03-J00"
"00B71","R06-M1-N03-J07"
"00B80","R07-M1-N01-J00"
"00B81","R07-M1-N01-J07"
"00B90","R07-M1-N01-J12"
"00B91","R07-M1-N01-J11"
"00BA0","R07-M1-N03-J12"
"00BA1","R07-M1-N03-J11"
"00BB0","R07-M1-N03-J00"
"00BB1","R07-M1-N03-J07"
"00BC0","R07-M0-N01-J00"
"00BC1","R07-M0-N01-J07"
"00BD0","R07-M0-N01-J12"
"00BD1","R07-M0-N01-J11"
"00BE0","R07-M0-N03-J12"
"00BE1","R07-M0-N03-J11"
"00BF0","R07-M0-N03-J00"
"00BF1","R07-M0-N03-J07"
"00C00","R02-M0-N00-J00"
"00C01","R02-M0-N00-J07"
"00C10","R02-M0-N00-J12"
"00C11","R02-M0-N00-J11"
"00C20","R02-M0-N02-J12"
"00C21","R02-M0-N02-J11"
"00C30","R02-M0-N02-J00"
"00C31","R02-M0-N02-J07"
"00C40","R02-M1-N00-J00"
